timestamp,total (W)
2021-05-13 12:00:00+02:00,32746.80033993.187
2021-05-14 12:00:00+02:00,31294.85835678.244
2021-05-15 12:00:00+02:00,37081.14443785.944
2021-05-16 12:00:00+02:00,36375.60340883.995
2021-05-17 12:00:00+02:00,37474.47741001.448
2021-05-18 12:00:00+02:00,44003.02147927.690
2021-05-19 12:00:00+02:00,50581.62059254.045
2021-05-20 12:00:00+02:00,56187.12564425.469
2021-05-21 12:00:00+02:00,55450.83563981.172
2021-05-22 12:00:00+02:00,53512.30263775.877
2021-05-23 12:00:00+02:00,57917.30368834.364
2021-05-24 12:00:00+02:00,48926.60855239.399
2021-05-25 12:00:00+02:00,50615.47858354.495
2021-05-26 12:00:00+02:00,53066.62161460.553
2021-05-27 12:00:00+02:00,46764.65654493.628
2021-05-28 12:00:00+02:00,50780.03272141.230
2021-05-29 12:00:00+02:00,38453.83954972.319
2021-05-30 12:00:00+02:00,37426.78850404.816
2021-05-31 12:00:00+02:00,39943.70253738.160
2021-06-01 12:00:00+02:00,41005.47955513.963
2021-06-02 12:00:00+02:00,27513.82538803.391
